ADATA
# Generated with ViCoS annotator
?format:1
?timestamp:2009/07/17 18:25:28 +0200
?template:rect
00000001.jpg;rect=154,94,18,48
00000002.jpg;rect=153,92,18,48
00000003.jpg;rect=153,90,19,49
00000004.jpg;rect=152,89,19,50
00000005.jpg;rect=152,87,20,51
00000006.jpg;rect=151,86,20,52
00000007.jpg;rect=151,84,21,53
00000008.jpg;rect=151,83,22,54
00000009.jpg;rect=153,83,22,54
00000010.jpg;rect=153,82,22,54
00000011.jpg;rect=155,82,22,54
00000012.jpg;rect=154,84,22,54
00000013.jpg;rect=157,82,22,54
00000014.jpg;rect=153,81,22,54
00000015.jpg;rect=152,81,22,54
00000016.jpg;rect=151,80,22,54
00000017.jpg;rect=147,82,22,54
00000018.jpg;rect=141,82,22,54
00000019.jpg;rect=136,80,22,54
00000020.jpg;rect=133,80,22,54
00000021.jpg;rect=128,79,22,54
00000022.jpg;rect=130,79,22,54
00000023.jpg;rect=129,78,22,54
00000024.jpg;rect=130,77,22,54
00000025.jpg;rect=131,78,22,54
00000026.jpg;rect=131,77,22,54
00000027.jpg;rect=133,77,22,54
00000028.jpg;rect=135,78,22,54
00000029.jpg;rect=137,77,22,54
00000030.jpg;rect=138,76,22,54
00000031.jpg;rect=140,75,22,54
00000032.jpg;rect=142,75,22,54
00000033.jpg;rect=145,74,22,54
00000034.jpg;rect=147,74,22,54
00000035.jpg;rect=150,74,22,54
00000036.jpg;rect=148,73,22,54
00000037.jpg;rect=148,75,22,54
00000038.jpg;rect=149,74,22,54
00000039.jpg;rect=149,74,22,54
00000040.jpg;rect=150,77,22,54
00000041.jpg;rect=151,76,22,54
00000042.jpg;rect=154,75,22,54
00000043.jpg;rect=155,75,22,54
00000044.jpg;rect=156,75,22,54
00000045.jpg;rect=157,76,22,54
00000046.jpg;rect=158,76,22,54
00000047.jpg;rect=159,77,22,54
00000048.jpg;rect=160,77,22,54
00000049.jpg;rect=161,78,22,54
00000050.jpg;rect=162,75,22,54
00000051.jpg;rect=162,75,22,54
00000052.jpg;rect=158,74,22,56
00000053.jpg;rect=159,73,22,58
00000054.jpg;rect=159,73,22,60
00000055.jpg;rect=156,72,22,62
00000056.jpg;rect=155,72,23,64
00000057.jpg;rect=152,74,23,66
00000058.jpg;rect=148,72,23,68
00000059.jpg;rect=141,71,23,70
00000060.jpg;rect=132,71,24,72
